max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,3,100,0.7214,25
3,3,200,0.7373,25
3,3,300,0.7335,25
3,5,100,0.7103,25
3,5,200,0.7286,25
3,5,300,0.7361,25
3,10,100,0.7042,25
3,10,200,0.6935,25
3,10,300,0.7064,25
5,3,100,0.7129,25
5,3,200,0.711,25
5,3,300,0.7226,25
5,5,100,0.7167,25
5,5,200,0.7235,25
5,5,300,0.7284,25
5,10,100,0.6897,25
5,10,200,0.6806,25
5,10,300,0.6896,25
2,3,100,0.6582,26
2,3,200,0.6699,26
2,3,300,0.675,26
2,5,100,0.654,26
2,5,200,0.6769,26
2,5,300,0.6661,26
2,10,100,0.6255,26
2,10,200,0.6416,26
2,10,300,0.6354,26
3,3,100,0.6998,26
3,3,200,0.6869,26
3,3,300,0.6773,26
3,5,100,0.6755,26
3,5,200,0.6945,26
3,5,300,0.6777,26
3,10,100,0.6345,26
3,10,200,0.6445,26
3,10,300,0.6358,26
5,3,100,0.7082,26
5,3,200,0.7071,26
5,3,300,0.6894,26
5,5,100,0.6851,26
5,5,200,0.6872,26
5,5,300,0.6725,26
5,10,100,0.6345,26
5,10,200,0.6445,26
5,10,300,0.6358,26
2,3,100,0.6636,27
2,3,200,0.67,27
2,3,300,0.6633,27
2,5,100,0.6639,27
2,5,200,0.6435,27
2,5,300,0.6626,27
2,10,100,0.6768,27
2,10,200,0.6584,27
2,10,300,0.6615,27
3,3,100,0.6752,27
3,3,200,0.6732,27
3,3,300,0.6696,27
3,5,100,0.666,27
3,5,200,0.6625,27
3,5,300,0.6745,27
3,10,100,0.6842,27
3,10,200,0.6924,27
3,10,300,0.6775,27
5,3,100,0.674,27
5,3,200,0.6899,27
5,3,300,0.6819,27
5,5,100,0.6737,27
5,5,200,0.6812,27
5,5,300,0.6859,27
5,10,100,0.685,27
5,10,200,0.6914,27
5,10,300,0.6795,27
2,3,100,0.6305,28
2,3,200,0.634,28
2,3,300,0.6319,28
2,5,100,0.6307,28
2,5,200,0.639,28
2,5,300,0.6318,28
2,10,100,0.628,28
2,10,200,0.6297,28
2,10,300,0.6279,28
3,3,100,0.6466,28
3,3,200,0.6507,28
3,3,300,0.6468,28
3,5,100,0.6401,28
3,5,200,0.6437,28
3,5,300,0.6492,28
3,10,100,0.6526,28
3,10,200,0.6437,28
3,10,300,0.6331,28
5,3,100,0.6436,28
5,3,200,0.6467,28
5,3,300,0.643,28
5,5,100,0.632,28
5,5,200,0.6485,28
5,5,300,0.6478,28
5,10,100,0.6571,28
5,10,200,0.6487,28
5,10,300,0.6402,28
2,3,100,0.7563,30
2,3,200,0.7704,30
2,3,300,0.7756,30
2,5,100,0.7611,30
2,5,200,0.7706,30
2,5,300,0.7955,30
2,10,100,0.7292,30
2,10,200,0.7283,30
2,10,300,0.7451,30
