scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,22,0.8080481740481739,0.8115527438507908,0.6041643272346904,0.6217221949399061,0.4801989121989122,0.4975663509685253,102.8
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,23,0.829986583287375,0.8429822734239127,0.5980232360356693,0.6069754613392391,0.49272600885994855,0.5213762245201454,308.8
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,24,0.2885321948015447,0.3002129749585786,0.2906584644894612,0.31431602878216147,0.5055039708847758,0.4941511778260971,328.4
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,25,0.5185185185185185,0.5226168684612933,0.346,0.35970744451051145,0.4992592592592592,0.5034095567918646,231.2
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,26,0.5275384615384615,0.5322889529953143,0.4312752685701035,0.43738208156705216,0.5205471195471196,0.5144858823705365,130.4
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,27,0.8202526011999696,0.8272788833207061,0.5593577414057948,0.5623092844095634,0.5013716108452951,0.4997352498258584,197.6
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,28,0.8493157202274849,0.7736155667040221,0.6128855334987662,0.5740382790175544,0.48103642517613104,0.5016584667473662,312.4
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,30,0.5065359477124184,0.5257493386673391,0.34045016648168697,0.36988126724767517,0.4853314659197013,0.5029208105175988,180.4
Intra,Notch,Art,NoBurst,EI,Intra|Notch|Art|NoBurst|EI,31,0.4983792901583991,0.5229883685588856,0.4193515779953083,0.5269330863716772,0.510170585778918,0.5227856841003773,220.8
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,4,0.6963534243534244,0.8382604934963304,0.5685309602453085,0.7443242625158267,0.5117730047730047,0.7025087541702971,125.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,5,0.526,0.8919716023570512,0.44209743197978496,0.8748471554140129,0.5286666666666667,0.868682677175919,40.8
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,6,0.4993737557592047,0.8515449776887882,0.46292607534507046,0.8511114138651859,0.49377349147240784,0.853202434982981,159.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,7,0.9468542568542568,0.9657470843690227,0.8070358208240561,0.934260519344415,0.769995004995005,0.9118900981116779,80.0
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,8,0.28641368077638096,0.5782214640763239,0.3259331962478329,0.6455361211729163,0.5016497186642495,0.7033649752240172,220.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,9,0.5613956370426958,0.8082012872582938,0.540675656259874,0.8528655975369672,0.5637376417871774,0.8645134444178442,182.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,10,0.4593581973581974,0.7742619828253523,0.44648828975156835,0.7771195006523515,0.5142836052836052,0.7798787446849358,110.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,11,0.6135043369885476,0.8179480133441178,0.5381103370396808,0.7762972547858394,0.5283386093946735,0.7555255267668416,242.0
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,12,1.0,0.9771047374908856,0.6885079365079364,0.756521266758172,0.5383333333333333,0.6282252835559408,59.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,13,0.35590950226244344,0.6620705145285768,0.37790960884956826,0.7048770912809299,0.47849504417151484,0.7369701578206019,149.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,14,0.5083787901125363,0.8655221192587363,0.4495132767255249,0.8501248625650988,0.5053394269988697,0.8448550761601143,194.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,15,0.6294811387442967,0.8732782767462781,0.5471744251153,0.8162626409407961,0.52088445472656,0.792729699088851,172.0
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,17,0.566178095781588,0.7678587009551245,0.531849776545727,0.7605496431337259,0.5297974261031427,0.7609425309274968,426.0
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,18,0.45733054931720113,0.6543598050979328,0.46172017604137094,0.6809893029280069,0.5440490259184642,0.6952966238278175,308.8
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,20,0.28758675936756894,0.6504203830137772,0.3452317174534993,0.7487892530528691,0.49881238153816854,0.7972764300246122,267.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,21,0.5765688820982938,0.8179212059107555,0.48585082861188866,0.7899167942296479,0.5117424879042527,0.7809933304450639,147.2
