segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
70,tiktok_under_4s_watched,1765396139.1363142,1765396139.632434,-42078577641230.28,-15045856436558.77,-58026249514.07375,-177536480853.74918,-105156712241.5655,-16477610818.76772,2566374037.991084,-176560953567.09094,-58631756943.52257,-26826099412.676796,-362039685133.2526,67627175125.16684,2813532493.9329133,-72752350757.47734,-128801931512.25839,35970522431.42895,219913241805.03772,-1267159423593.3254,-516105503102.62213,-2653499028432.519
71,tiktok_under_4s_watched,1765396167.8730702,1765396168.3692093,-62175081943096.13,-17036561366353.635,-65047290107.350876,-229918542348.19247,-211696917085.49515,-23522673781.602173,-84905940911.24808,-173059898696.26712,-58795225600.33321,-32896020415.24172,-4012436313762.9307,-394145678528.921,-101338646240.8562,-51946863926.9576,-136531161221.45758,30982146399.24614,-212905956433.11722,-1166903443079.84,-318956011229.2143,-2926896728069.7666
72,tiktok_under_4s_watched,1765396174.6236844,1765396175.11981,-66077900903194.53,-26510151662481.97,-74748656717.7472,-150637735288.98166,-101742927759.90761,-41891087351.06078,-21038553726.808254,-68323397800.6194,-64521746109.83813,-42035001160.316864,-5001295657063.696,-1375490583471.7354,-186948214012.05273,-59091643131.45452,-214753665863.4296,13355542241.032732,-46935022530.95626,-444466180357.9885,20133414416.064846,-375532195120.52625
73,tiktok_under_4s_watched,1765396219.8611877,1765396220.3573034,-30042072195573.734,-22635037492824.883,-56510291453.17425,-124104302478.98436,-129860322648.72105,-28048463097.88937,-55218032888.29923,-23801191733.198788,-17654000053.144722,-7621759160.9405155,-797062998071.719,-1123417050331.1013,-164054827533.4573,-71291401422.33594,-140454339057.78098,15453626827.943583,42914583613.23929,-379716198935.1802,23710058371.391766,-324860506577.1857
74,tiktok_under_4s_watched,1765396282.5399504,1765396283.0361004,-67735149187678.234,-22832775553678.58,-49183536538.365845,-141635456927.66855,-121510784509.78386,-38980079537.02302,-87216207078.7442,-175502635065.00494,-66567358307.89514,-37384497918.167145,-247881147148.79285,-1287650976462.884,-103734399800.88785,-77668058520.84685,-130296189508.91597,17004587403.290474,-85497383660.10918,-219086983083.2105,41621653213.48972,-935142142678.306
75,tiktok_under_4s_watched,1765396334.5304365,1765396335.026585,-42467826713764.055,-22628217086766.84,-62351310121.48399,-129939305528.2076,-129098669727.38962,-31497409926.214626,-47289306304.07776,-22425806576.01453,-4036162729.0426264,-10217951920.408527,-3584898524386.3276,-1791448921891.0679,-127885910845.2892,-64847208835.48215,-230912878324.78357,38055261194.46999,-40756538504.46698,-1044476871769.9102,-88070516316.47784,930075412437.7811
76,tiktok_under_4s_watched,1765396363.54967,1765396364.0458243,-7762535601907.1455,-4066433667892.1978,-7352900368.567856,-753993506.9175817,-23213063862.15258,-26507543438.840363,-81759340577.09723,-216634251763.04373,-4460484654.620857,-12601130300.853872,-5365074423855.961,553878545156.2954,137897912339.73767,-59666627612.61202,-180577716528.315,22874157701.626663,-353525408683.5116,-368692617497.0388,31345908380.906277,-1261511106003.7222
77,tiktok_under_4s_watched,1765396371.8944557,1765396372.390604,-46469683794999.08,-8433390154468.85,-46125982330.66891,-60741241842.94269,-66866037660.55593,-37113131069.460434,-58563030405.49934,-75953224638.88297,-43148354915.34137,-13009914253.549221,-3525676395532.1367,-2463669425484.083,9973674210.55051,-61428856605.790535,-134744752378.3601,8537786989.69281,-138155317878.19827,-263294505275.5738,31295536314.192326,-104533380321.73375
78,tiktok_under_4s_watched,1765396373.1133487,1765396373.609497,-54264064695237.305,-14543042978220.02,-35997017503.05219,-123711255756.32486,-80073153438.65764,-49063258193.05329,-23342171220.18607,29073891413.566547,1836567589.5118535,8288608918.984049,-3451070543622.122,-558728378019.8914,-107487816590.42398,-69016555914.84656,-157969296028.74512,3711342350.587425,-84678765582.61145,-396673833965.32227,22478192147.453423,-553046029379.4967
79,tiktok_under_4s_watched,1765396374.1916022,1765396374.6877506,-32778021396986.457,-13050879232631.549,-41842948523.34508,-122748403261.80678,-112259136919.18324,-30839078880.486263,-89608921555.0991,-105504357992.32465,-44163189474.90042,-14563022605.425364,-8113984161209.546,-4203038356188.284,-141246251238.305,-85586002316.43307,-148567067704.28745,13050110743.890867,-183061745828.37473,-457048796869.0478,43886910145.06323,-210934717338.75867
80,tiktok_under_4s_watched,1765396377.6138787,1765396378.1100311,-34325131960143.22,-8610039261047.043,-57219903684.532005,-176785421895.16043,-59282065615.42066,-40118427375.211395,-45947711719.73866,63613207751.50219,2248213931.9494243,2269608940.946006,-1116222209614.9102,-112471719878.8474,-70749292523.07726,-32101371778.55271,-47133300327.54573,17653173852.436996,-353956121293.4819,-224363676300.26926,51351629669.62902,-1111253904998.9834
81,tiktok_under_4s_watched,1765396380.0047786,1765396380.5009265,-27676056644157.53,-9058921863855.703,-57968539272.563644,-155300576683.74503,-110401931051.96887,-51811284883.20205,-69139385869.23956,-49712350118.820854,-42881042950.648155,-17188860996.396694,-4595324366577.2705,-2153792956074.186,-102596614598.40463,-46588585482.330284,-109481442698.13676,24749078052.646812,-216249980073.78366,-872126759470.3651,-209947961289.727,-2672174905541.83
82,tiktok_under_4s_watched,1765396386.4742873,1765396386.970434,-2201658872210.069,-5968218856071.042,-1491537299.1788468,-151394820640.02533,-70663062417.68181,-41349551562.30493,-79137919580.35385,-168046009589.74753,-45990717619.79687,-20168244329.752243,335381130031.8265,-420818034066.45856,-35705368567.31264,-53083018879.5756,-99707602884.79813,14916945187.937454,-223817019082.15738,-379220658441.7558,39302327050.72408,-1004441522779.2699
83,tiktok_under_4s_watched,1765396511.1273656,1765396511.6234918,-54477974006452.4,-16063262512452.002,-88168219974.34117,-174264302048.9274,-131923225015.63268,-16903452637.795706,26260496140.694843,-109141152569.57608,-26262059213.668663,-13857481882.9429,-426467977455.8965,152938121074.57288,-100624576648.74358,-78547627232.27626,-205062225629.02133,31291666530.183273,-386311949243.1932,-815771747897.492,-65581796641.59056,-1864832438671.3606
