max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,30,30,0.6667,22
3,30,60,0.6667,22
3,30,100,0.6667,22
1,10,30,0.8365,23
1,10,60,0.8633,23
1,10,100,0.8595,23
1,20,30,0.8487,23
1,20,60,0.8828,23
1,20,100,0.8735,23
1,30,30,0.8057,23
1,30,60,0.8121,23
1,30,100,0.8124,23
2,10,30,0.8305,23
2,10,60,0.8596,23
2,10,100,0.8501,23
2,20,30,0.8399,23
2,20,60,0.8657,23
2,20,100,0.8612,23
2,30,30,0.7844,23
2,30,60,0.7943,23
2,30,100,0.7942,23
3,10,30,0.809,23
3,10,60,0.8359,23
3,10,100,0.8508,23
3,20,30,0.828,23
3,20,60,0.8496,23
3,20,100,0.8462,23
3,30,30,0.7813,23
3,30,60,0.7833,23
3,30,100,0.7859,23
1,10,30,0.8977,24
1,10,60,0.9115,24
1,10,100,0.9212,24
1,20,30,0.901,24
1,20,60,0.9194,24
1,20,100,0.9212,24
1,30,30,0.7792,24
1,30,60,0.7989,24
1,30,100,0.7655,24
2,10,30,0.9039,24
2,10,60,0.9098,24
2,10,100,0.9148,24
2,20,30,0.9025,24
2,20,60,0.9103,24
2,20,100,0.9152,24
2,30,30,0.7741,24
2,30,60,0.7909,24
2,30,100,0.7617,24
3,10,30,0.8983,24
3,10,60,0.9044,24
3,10,100,0.9098,24
3,20,30,0.8977,24
3,20,60,0.9056,24
3,20,100,0.9134,24
3,30,30,0.7714,24
3,30,60,0.7909,24
3,30,100,0.7586,24
1,10,30,0.7984,25
1,10,60,0.8157,25
1,10,100,0.8433,25
1,20,30,0.7522,25
1,20,60,0.764,25
1,20,100,0.7671,25
1,30,30,0.6035,25
1,30,60,0.6195,25
1,30,100,0.6954,25
2,10,30,0.7733,25
2,10,60,0.799,25
2,10,100,0.8079,25
2,20,30,0.7295,25
2,20,60,0.7334,25
2,20,100,0.7367,25
2,30,30,0.5935,25
2,30,60,0.6152,25
2,30,100,0.6803,25
3,10,30,0.7672,25
3,10,60,0.7918,25
3,10,100,0.799,25
3,20,30,0.7256,25
3,20,60,0.7351,25
3,20,100,0.7343,25
3,30,30,0.5935,25
3,30,60,0.6152,25
3,30,100,0.6803,25
1,10,30,0.716,26
1,10,60,0.7347,26
1,10,100,0.7344,26
1,20,30,0.617,26
1,20,60,0.6172,26
1,20,100,0.6017,26
1,30,30,0.3671,26
1,30,60,0.3671,26
1,30,100,0.3394,26
2,10,30,0.7376,26
2,10,60,0.735,26
2,10,100,0.7302,26
2,20,30,0.617,26
2,20,60,0.6131,26
2,20,100,0.6061,26
2,30,30,0.3671,26
2,30,60,0.3671,26
2,30,100,0.3394,26
3,10,30,0.7194,26
3,10,60,0.7387,26
3,10,100,0.7261,26
3,20,30,0.617,26
3,20,60,0.6131,26
3,20,100,0.6061,26
3,30,30,0.3671,26
3,30,60,0.3671,26
3,30,100,0.3394,26
1,10,30,0.6561,27
1,10,60,0.7107,27
1,10,100,0.7385,27
1,20,30,0.6438,27
1,20,60,0.7356,27
1,20,100,0.7353,27
1,30,30,0.6312,27
1,30,60,0.6986,27
1,30,100,0.7201,27
2,10,30,0.6742,27
2,10,60,0.7145,27
2,10,100,0.7459,27
2,20,30,0.6329,27
2,20,60,0.7113,27
2,20,100,0.7108,27
2,30,30,0.6275,27
2,30,60,0.6983,27
2,30,100,0.712,27
3,10,30,0.6697,27
3,10,60,0.6982,27
3,10,100,0.7092,27
3,20,30,0.6355,27
3,20,60,0.7219,27
3,20,100,0.7078,27
3,30,30,0.6275,27
3,30,60,0.6983,27
3,30,100,0.712,27
1,10,30,0.6104,28
1,10,60,0.6287,28
1,10,100,0.6367,28
1,20,30,0.6101,28
1,20,60,0.6148,28
1,20,100,0.6232,28
1,30,30,0.524,28
1,30,60,0.5504,28
1,30,100,0.5538,28
2,10,30,0.6226,28
2,10,60,0.644,28
2,10,100,0.6568,28
2,20,30,0.6169,28
2,20,60,0.6385,28
2,20,100,0.6469,28
2,30,30,0.5437,28
2,30,60,0.5645,28
2,30,100,0.5725,28
3,10,30,0.6422,28
3,10,60,0.6598,28
3,10,100,0.6619,28
3,20,30,0.638,28
3,20,60,0.6493,28
3,20,100,0.6571,28
3,30,30,0.5389,28
3,30,60,0.5659,28
3,30,100,0.5738,28
1,10,30,0.7988,30
1,10,60,0.8266,30
1,10,100,0.8548,30
1,20,30,0.6656,30
1,20,60,0.69,30
1,20,100,0.7007,30
1,30,30,0.4962,30
1,30,60,0.4966,30
1,30,100,0.5047,30
2,10,30,0.8036,30
2,10,60,0.8422,30
2,10,100,0.8496,30
2,20,30,0.6625,30
2,20,60,0.6955,30
2,20,100,0.693,30
2,30,30,0.4962,30
2,30,60,0.4966,30
2,30,100,0.5047,30
3,10,30,0.7949,30
3,10,60,0.8174,30
3,10,100,0.8483,30
3,20,30,0.662,30
3,20,60,0.6955,30
3,20,100,0.6983,30
3,30,30,0.4962,30
3,30,60,0.4966,30
3,30,100,0.5047,30
1,10,30,0.6074,31
1,10,60,0.6236,31
1,10,100,0.6323,31
1,20,30,0.5623,31
1,20,60,0.6222,31
1,20,100,0.573,31
1,30,30,0.535,31
1,30,60,0.6099,31
1,30,100,0.5287,31
2,10,30,0.6003,31
2,10,60,0.6123,31
2,10,100,0.6105,31
2,20,30,0.5317,31
2,20,60,0.6063,31
2,20,100,0.5631,31
2,30,30,0.5434,31
2,30,60,0.6095,31
2,30,100,0.5309,31
3,10,30,0.5902,31
3,10,60,0.6042,31
3,10,100,0.6056,31
3,20,30,0.5315,31
3,20,60,0.6018,31
3,20,100,0.5655,31
3,30,30,0.5434,31
3,30,60,0.6095,31
3,30,100,0.5309,31
