rank,feature_name,electrode,band,stat_type,mean_importance,std_importance,median_importance,min_importance,max_importance
87,TP9_low_gamma_mean,TP9,low_gamma,mean,0.007633785536884558,0.0034116222846100304,0.007246260929823282,0.0027580329889906508,0.015748436921187423
88,TP10_beta_std,TP10,beta,std,0.00763266777924753,0.004046090545425104,0.005742990942296666,0.0029109669316475495,0.01920599912898075
89,AF8_beta_std,AF8,beta,std,0.007560367688122503,0.004821820900356276,0.00713868696429635,0.0017144621377452043,0.02613121673705143
90,AF8_very_high_max,AF8,very_high,max,0.007489560674709764,0.0033085992985325803,0.007411780746094815,0.0023076468009146835,0.01482989844430338
91,AF8_very_high_mean,AF8,very_high,mean,0.007484736959675623,0.003318570813894184,0.008482801003918631,0.0016595275051600896,0.014596290655726154
92,TP9_high_gamma_mean,TP9,high_gamma,mean,0.007452279260567793,0.005416235887025291,0.0064848398250609875,0.0002861808444716764,0.02733782918929589
93,AF7_alpha_std,AF7,alpha,std,0.007418864909827836,0.003429179207718171,0.006215547470044994,0.0017142284056446298,0.01430129421859601
94,TP9_alpha_std,TP9,alpha,std,0.007322117757010913,0.0038276601161923956,0.006538744896851123,0.0013594684768966925,0.01830570576168234
95,TP10_low_gamma_min,TP10,low_gamma,min,0.007286001726118251,0.002642436783057061,0.0073066583940655004,0.0031771919654286925,0.015083870285656569
96,AF7_beta_std,AF7,beta,std,0.0072506731647528026,0.0028347003102483295,0.007230911719446653,0.0017989469683346903,0.01400107813412808
97,TP9_beta_mean,TP9,beta,mean,0.007214985925577896,0.0029274157251260834,0.007660155198838983,0.0007266446406157099,0.01322506321767868
98,TP9_beta_max,TP9,beta,max,0.0072136914027488095,0.0035403447401777532,0.0061509452899744296,0.0031537853250105086,0.014699395061607032
99,AF7_very_high_std,AF7,very_high,std,0.007200146915224723,0.0031241125482097403,0.007182324087166424,0.0,0.01700665563129314
100,AF8_low_gamma_std,AF8,low_gamma,std,0.007174271423783435,0.0028185934475716524,0.007481337668628246,0.0022015519229203664,0.012535602626699713
101,AF8_very_high_std,AF8,very_high,std,0.007119043251241276,0.004876526182081071,0.006486868670032785,0.0018993857239830137,0.026952158494095886
102,TP9_very_high_std,TP9,very_high,std,0.00708010361703187,0.004508880857656096,0.006238731462274647,0.001411643645792124,0.02463413987929173
103,TP10_very_high_max,TP10,very_high,max,0.007052720437276046,0.0032651210856532325,0.006756526916044471,0.002151125712080113,0.013951691348881447
104,AF7_very_high_mean,AF7,very_high,mean,0.007019821718557703,0.003693066503128345,0.006540293289706527,0.0018052604422115668,0.01796270230611515
105,AF7_alpha_mean,AF7,alpha,mean,0.006940221029008916,0.0029963554853498194,0.006482022227620799,0.0022014762174749646,0.014534933842904418
106,TP10_beta_min,TP10,beta,min,0.006852875056775179,0.0039036838752658743,0.006611241054507385,0.00041226624543577907,0.015952653292100598
107,TP9_alpha_mean,TP9,alpha,mean,0.006838367056866678,0.0035419156760940016,0.006092536393863387,0.0008302775903681503,0.014899764090167323
108,TP10_beta_max,TP10,beta,max,0.0067797632162680775,0.002487828319784251,0.006638376515131401,0.0012852248202681832,0.013270625781512195
109,TP9_very_high_max,TP9,very_high,max,0.006568428601878131,0.0033003004963924696,0.006263035092098528,0.0013859483379446225,0.016036011702088772
110,AF8_low_gamma_max,AF8,low_gamma,max,0.006504059912856872,0.002812541868612179,0.006227039179897046,0.0023558772229933774,0.015118597932458306
111,TP9_very_high_mean,TP9,very_high,mean,0.0063213154848991045,0.003217783919113681,0.005673001676921593,0.0013987428349622616,0.0130392837858307
112,TP10_very_high_std,TP10,very_high,std,0.006209444527369005,0.0024856720070597317,0.0057571666776576845,0.002869419932876341,0.011934394544048718
