scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,23,0.47025516584660726,0.7437859902802684,0.4822144076412839,0.7874725965340655,0.5303901845499045,0.8104896120538772,308.8
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,24,0.5396729591497393,0.7771650113483093,0.5058750505661987,0.7530037707550665,0.5150952284404298,0.740417808102914,328.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,25,0.4943674915123191,0.9186410532958222,0.46210148165104625,0.90291235011764,0.5131463450980693,0.8994311544758894,231.2
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,26,0.3987688977688978,0.8679605945752945,0.47337597537471565,0.8996244110024272,0.5744676157176156,0.9116251205148564,130.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,27,0.5216125689718367,0.920029259985624,0.5076775245014616,0.9260504369283098,0.5433270965622224,0.9271835725501841,197.6
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,28,0.5299265766912826,0.7803742773834348,0.4325063520065896,0.8055914477940979,0.5545967553688141,0.8169021114365718,312.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,30,0.43444648385670054,0.8413620674858141,0.41046357186700755,0.8171221359606647,0.49642879256965944,0.8098144508569082,180.4
Intra,Notch,Art,NoBurst,RF,Intra|Notch|Art|NoBurst|RF,31,0.5480423713317238,0.7287146290668418,0.4726117913246778,0.688516947253518,0.4587032239757371,0.6668573527983711,220.8
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,4,0.5112843137254902,0.52881195047779,0.42974867631073466,0.5225489654114346,0.4819901960784314,0.5092853912256897,162.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,5,0.48,0.5633333333333334,0.35434173669467783,0.47802173119436925,0.5,0.5175000000000001,60.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,6,0.4354978354978355,0.5228399452804378,0.43028618905168037,0.5166574395119123,0.48909090909090913,0.5175129958960328,214.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,7,0.9077124183006535,0.9260041407867495,0.6334939324110772,0.6427330684274539,0.5061437908496732,0.5154989648033126,174.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,8,0.5198901098901099,0.5067857142857142,0.4746191190836055,0.5108575077386186,0.5114835164835164,0.5120318532818533,276.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,9,0.5182608695652174,0.5230434782608695,0.45592818574238725,0.49183651167016584,0.5165217391304349,0.5310869565217391,230.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,10,0.5489523809523809,0.5326194797338173,0.4807324238999161,0.532204847490345,0.4753333333333333,0.5318753781004235,144.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,11,0.4255645161290323,0.42220722409698785,0.41875429829247146,0.4816631101439004,0.5310483870967743,0.5484101987251595,316.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,12,0.548,0.4582682926829268,0.43168058608058607,0.4418047933226009,0.5276363636363636,0.5263414634146342,102.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,13,0.7745029239766081,0.7901837837837837,0.5477647609101549,0.5686527425449189,0.482280701754386,0.4887531531531531,186.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,14,0.5362666666666668,0.4995030303030303,0.46055806964409507,0.502205370994124,0.49239999999999995,0.5244040404040404,248.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,15,0.33789102202145677,0.3673164035689773,0.29985369924285943,0.40533223878653235,0.46968944099378884,0.49281501931713195,224.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,17,0.6335998201658579,0.5834820107385955,0.5162999390460035,0.5327321650535789,0.4899296692126881,0.5102313265232196,532.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,18,0.6987692307692307,0.6473562847698138,0.540622954686416,0.5383187424311081,0.4899102564102564,0.506073530597436,394.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,20,0.42174025974025975,0.4424430806228388,0.38694932214426014,0.4327773471393491,0.4662762923351159,0.51267314732609,328.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,21,0.609578947368421,0.5120759493670886,0.48344663501384416,0.5152587070733416,0.4828947368421053,0.5191582278481013,198.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,22,0.40857142857142864,0.4214285714285714,0.39581448868436164,0.4533312447931733,0.4742857142857143,0.5064285714285715,140.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,23,0.45426174253645374,0.4364813664596273,0.38433227509089973,0.38532638357585414,0.4757657088311774,0.5055010147184194,396.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,24,0.3697040169133192,0.4341505547804133,0.34107764338916097,0.4125550344576657,0.48627906976744184,0.5119998671184639,434.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,25,0.5078709677419355,0.6162837465564739,0.43467560533483374,0.5340807095079586,0.49995698924731186,0.5157203856749311,302.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,26,0.28557142857142853,0.3971126388154415,0.283497334013493,0.3911943830319399,0.48121428571428576,0.5167310180699781,152.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,27,0.3250461538461539,0.3815838568437083,0.34781878576945047,0.4121006062148956,0.501476923076923,0.5091738054445079,256.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,28,0.4200849052825504,0.4523559733199116,0.36271411943985704,0.45804683689029846,0.5007193551582911,0.5045849400293181,382.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,30,0.30719367588932806,0.31701373283395756,0.26556231423849114,0.28671384110718173,0.5088142292490119,0.5062197253433209,224.0
Intra,Notch,NoArt,Burst,EI,Intra|Notch|NoArt|Burst|EI,31,0.2901970443349754,0.37645461479786424,0.26258983976348826,0.40623136776488245,0.49931034482758624,0.49878565980167816,286.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,4,0.6449117647058824,0.7986326678627323,0.5615386956249679,0.7418673718428531,0.5400539215686275,0.7156264133876074,162.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,5,0.5266666666666666,0.8333333333333334,0.45913766625531327,0.8460864653577127,0.5466666666666666,0.8491666666666667,60.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,6,0.49151515151515157,0.7934336525307797,0.4713437120676048,0.7950654022700727,0.5036796536796537,0.7959972640218878,214.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,7,0.8486274509803919,0.9293250517598344,0.8687884752629584,0.9465494498629731,0.8730718954248367,0.9477308488612838,174.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,8,0.4243956043956045,0.8789285714285715,0.42402661281144355,0.8824781945098834,0.4956593406593407,0.8822104247104248,276.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,9,0.5304347826086956,0.7304347826086958,0.5229548263746239,0.754658377155196,0.54,0.763913043478261,230.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,10,0.5169523809523808,0.7305626134301271,0.5008383897528648,0.7306798493833236,0.5325714285714286,0.7305868118572293,144.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,11,0.5295161290322581,0.7110811148606423,0.4888300807950804,0.7272553710635806,0.5228225806451613,0.733817022872141,316.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,12,0.8290909090909091,0.8541463414634146,0.8650693221467215,0.8951900123316936,0.8850909090909092,0.9007073170731708,102.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,13,0.523157894736842,0.7311207207207207,0.49461034061154513,0.7268386017037031,0.4908771929824562,0.7266198198198198,186.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,14,0.4366666666666667,0.8234949494949495,0.41421652215116805,0.8317659366624802,0.4945666666666666,0.8339434343434343,248.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,15,0.6153058535667231,0.8431846259437201,0.5646470464708395,0.8022134088941645,0.5593991153773763,0.7873234091015602,224.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,17,0.6172588487682826,0.7922876590707311,0.5529484580957181,0.7635793043330408,0.5146658114771323,0.7521528773938033,532.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,18,0.5466410256410257,0.7588986535515602,0.5107803742926447,0.7728356224930863,0.5440897435897435,0.7776699185680883,394.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,20,0.493379679144385,0.8042933104146744,0.5192222846582688,0.8316653986421709,0.5554351922587216,0.8355022725432898,328.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,21,0.46947368421052627,0.7787784810126581,0.4227045749926558,0.7746726032039175,0.4992105263157895,0.7731930379746835,198.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,22,0.6142857142857142,0.89,0.611223171121517,0.8900883874201208,0.6314285714285715,0.8899999999999999,140.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,23,0.6021677034988974,0.8246164596273292,0.553154526280356,0.8023427350037668,0.5318885981369935,0.7956790562620402,396.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,24,0.47835095137420713,0.6905401634442894,0.4787908510942847,0.7127548300374305,0.5240380549682876,0.7232595840807919,434.0
Intra,Notch,NoArt,Burst,RF,Intra|Notch|NoArt|Burst|RF,25,0.47178494623655914,0.8612424242424244,0.4416672989244349,0.8761666018333996,0.5001505376344085,0.8783099173553719,302.0
