max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
1,20,60,0.6301,26
1,20,100,0.6235,26
1,30,30,0.6869,26
1,30,60,0.6682,26
1,30,100,0.673,26
2,10,30,0.605,26
2,10,60,0.6107,26
2,10,100,0.608,26
2,20,30,0.626,26
2,20,60,0.6159,26
2,20,100,0.6089,26
2,30,30,0.6813,26
2,30,60,0.6691,26
2,30,100,0.6626,26
3,10,30,0.5969,26
3,10,60,0.6075,26
3,10,100,0.6008,26
3,20,30,0.6222,26
3,20,60,0.6228,26
3,20,100,0.6202,26
3,30,30,0.673,26
3,30,60,0.6652,26
3,30,100,0.6668,26
1,10,30,0.5413,27
1,10,60,0.5546,27
1,10,100,0.5536,27
1,20,30,0.5393,27
1,20,60,0.5502,27
1,20,100,0.5454,27
1,30,30,0.5464,27
1,30,60,0.566,27
1,30,100,0.5487,27
2,10,30,0.5393,27
2,10,60,0.5569,27
2,10,100,0.5542,27
2,20,30,0.5361,27
2,20,60,0.5514,27
2,20,100,0.5534,27
2,30,30,0.5331,27
2,30,60,0.5595,27
2,30,100,0.5685,27
3,10,30,0.5294,27
3,10,60,0.5606,27
3,10,100,0.5605,27
3,20,30,0.5463,27
3,20,60,0.5487,27
3,20,100,0.5515,27
3,30,30,0.5447,27
3,30,60,0.5646,27
3,30,100,0.5551,27
1,10,30,0.7194,28
1,10,60,0.7284,28
1,10,100,0.7452,28
1,20,30,0.7144,28
1,20,60,0.7302,28
1,20,100,0.7411,28
1,30,30,0.726,28
1,30,60,0.7294,28
1,30,100,0.7474,28
2,10,30,0.7158,28
2,10,60,0.7263,28
2,10,100,0.7435,28
2,20,30,0.7118,28
2,20,60,0.7201,28
2,20,100,0.7363,28
2,30,30,0.7214,28
2,30,60,0.7264,28
2,30,100,0.7455,28
3,10,30,0.7046,28
3,10,60,0.723,28
3,10,100,0.7237,28
3,20,30,0.6954,28
3,20,60,0.7089,28
3,20,100,0.7179,28
3,30,30,0.7068,28
3,30,60,0.7143,28
3,30,100,0.7303,28
1,10,30,0.5038,30
1,10,60,0.4946,30
1,10,100,0.489,30
1,20,30,0.5086,30
1,20,60,0.5052,30
1,20,100,0.4932,30
1,30,30,0.5069,30
1,30,60,0.4983,30
1,30,100,0.503,30
2,10,30,0.5399,30
2,10,60,0.5268,30
2,10,100,0.5267,30
2,20,30,0.5213,30
2,20,60,0.5305,30
2,20,100,0.5172,30
2,30,30,0.5034,30
2,30,60,0.5046,30
2,30,100,0.5018,30
3,10,30,0.5345,30
3,10,60,0.5316,30
3,10,100,0.5365,30
3,20,30,0.5226,30
3,20,60,0.5307,30
3,20,100,0.5129,30
3,30,30,0.5107,30
3,30,60,0.4942,30
3,30,100,0.499,30
1,10,30,0.5536,31
1,10,60,0.5319,31
1,10,100,0.5475,31
1,20,30,0.5535,31
1,20,60,0.5324,31
1,20,100,0.5379,31
1,30,30,0.5608,31
1,30,60,0.5528,31
1,30,100,0.5566,31
2,10,30,0.575,31
2,10,60,0.5508,31
2,10,100,0.5454,31
2,20,30,0.571,31
2,20,60,0.5558,31
2,20,100,0.5443,31
2,30,30,0.5675,31
2,30,60,0.5633,31
2,30,100,0.5553,31
3,10,30,0.5743,31
3,10,60,0.5668,31
3,10,100,0.5639,31
3,20,30,0.5727,31
3,20,60,0.5624,31
3,20,100,0.5651,31
3,30,30,0.5726,31
3,30,60,0.5672,31
3,30,100,0.5628,31
