PID,n_skip,R1 Test Acc,R1 Train Acc,R1 \Delta Acc,R2 Test Acc,R2 Train Acc,R2 \Delta Acc,R3 Test Acc,R3 Train Acc,R3 \Delta Acc,R4 Test Acc,R4 Train Acc,R4 \Delta Acc,R4 Test Recall,R4 95% CI,R4 Sig.↑
P18,201,0.6239999999999999,0.8309602515520439,0.206960251552044,0.6239999999999999,0.8309602515520439,0.206960251552044,0.606628205128205,0.8249866967669114,0.21835849163870635,0.626628205128205,0.7137265177779569,0.08709831264975187,0.7912820512820513,"[0.749, 0.829]",✓
P20,175,0.6010735294117648,0.9831323996400804,0.38205887022831553,0.6010735294117648,0.9831323996400804,0.38205887022831553,0.5907962184873949,0.8559445594412367,0.26514834095384177,0.6068214285714285,0.7818335249946538,0.17501209642322524,0.7134117647058824,"[0.663, 0.759]",✓
P21,104,0.4911052631578947,0.9343481012658228,0.4432428381079281,0.4911052631578947,0.9343481012658228,0.4432428381079281,0.4892105263157895,0.7876075949367088,0.29839706862091936,0.5022631578947369,0.7880791139240506,0.28581595602931376,0.4922105263157895,"[0.421, 0.559]",—
P22,74,0.6757142857142857,0.9039285714285714,0.2282142857142857,0.6757142857142857,0.9039285714285714,0.2282142857142857,0.6699999999999999,0.9232142857142858,0.25321428571428584,0.6928571428571428,0.8300000000000001,0.13714285714285723,0.8342857142857143,"[0.765, 0.888]",✓
P23,205,0.742719512195122,0.986447204968944,0.243727692773822,0.742719512195122,0.986447204968944,0.243727692773822,0.721829268292683,0.8425729813664595,0.12074371307377652,0.7518414634146341,0.7725465838509317,0.020705120436297575,0.907390243902439,"[0.876, 0.932]",✓
P24,221,0.7752854122621564,0.8303508072553318,0.05506539499317542,0.7752854122621564,0.8303508072553318,0.05506539499317542,0.774355179704017,0.8229845193010432,0.0486293395970262,0.7822515856236787,0.7994990366088632,0.017247450985184543,0.9261945031712472,"[0.898, 0.947]",✓
P25,155,0.7277204301075268,0.7950482093663912,0.06732777925886435,0.7277204301075268,0.7950482093663912,0.06732777925886435,0.7020645161290322,0.8521611570247934,0.15009664089576125,0.727741935483871,0.7451460055096418,0.017404070025770824,0.9446451612903226,"[0.912, 0.965]",✓
P26,81,0.6741666666666667,0.9983712321523004,0.3242045654856337,0.6741666666666667,0.9983712321523004,0.3242045654856337,0.66575,0.9335060814383922,0.26775608143839225,0.7191666666666666,0.9372924378635644,0.2181257711968978,0.7638333333333333,"[0.693, 0.826]",✓
P27,133,0.6330153846153846,0.9215172282505236,0.288501843635139,0.6330153846153846,0.9215172282505236,0.288501843635139,0.6336615384615384,0.91390062821245,0.2802390897509116,0.6413846153846154,0.8171501998857795,0.17576558450116408,0.7997538461538461,"[0.748, 0.845]",✓
P28,211,0.5626957026713124,0.8856334072431633,0.3229377045718509,0.5626957026713124,0.8856334072431633,0.3229377045718509,0.5568768873403019,0.7977901958383778,0.2409133084980759,0.5782020905923345,0.8102071288978367,0.23200503830550223,0.5510150987224158,"[0.503, 0.599]",✓
P30,116,0.7345454545454546,0.834569288389513,0.10002383384405844,0.7345454545454546,0.834569288389513,0.10002383384405844,0.7275098814229249,0.8330162297128589,0.105506348289934,0.7676679841897233,0.789171036204744,0.021503052015020785,0.9251383399209488,"[0.882, 0.952]",✓
P31,147,0.566896551724138,0.9463264683447752,0.3794299166206372,0.566896551724138,0.9463264683447752,0.3794299166206372,0.5361822660098523,0.7204942791762013,0.18431201316634904,0.5862068965517242,0.7122242562929062,0.126017359741182,0.7488177339901478,"[0.695, 0.795]",✓
Mean ± SD,133.1 ± 57.6,0.648 ± 0.105,0.915 ± 0.073,0.267 ± 0.142,0.648 ± 0.105,0.915 ± 0.073,0.267 ± 0.142,0.631 ± 0.105,0.829 ± 0.059,0.198 ± 0.097,0.658 ± 0.107,0.801 ± 0.063,0.144 ± 0.105,0.752 ± 0.153,,
