Rank,Feature,Mean Gini,SD,Electrode,Band
59,AF8_theta_hjorth_comp,0.003833,0.002235,AF8,theta
60,TP10_alpha_hjorth_act,0.00382,0.002113,TP10,alpha
61,TP10_high_gamma_hjorth_mob,0.003817,0.003133,TP10,high_gamma
62,TP9_theta_hjorth_mob,0.003815,0.002437,TP9,theta
63,TP9_high_gamma_hjorth_mob,0.003801,0.003599,TP9,high_gamma
64,TP10_theta_std,0.003783,0.003988,TP10,theta
65,TP9_theta_hjorth_comp,0.003769,0.002852,TP9,theta
66,TP9_theta_mean,0.003758,0.001572,TP9,theta
67,TP10_alpha_std,0.003755,0.001942,TP10,alpha
68,TP10_alpha_macrofreq,0.00375,0.002497,TP10,alpha
69,TP10_alpha_mean,0.003658,0.002164,TP10,alpha
70,TP10_theta_hjorth_act,0.003652,0.00371,TP10,theta
71,TP9_low_gamma_hjorth_comp,0.003647,0.002154,TP9,low_gamma
72,AF7_delta_hjorth_act,0.003643,0.002056,AF7,delta
73,AF7_beta_hjorth_mob,0.003643,0.00185,AF7,beta
74,TP10_beta_mean,0.003614,0.002138,TP10,beta
75,AF7_alpha_peakfreq,0.003609,0.002973,AF7,alpha
76,TP10_beta_std,0.00353,0.001843,TP10,beta
77,AF7_delta_std,0.00351,0.001891,AF7,delta
78,TP9_beta_macrofreq,0.003506,0.002351,TP9,beta
79,TP10_alpha_max,0.003489,0.002064,TP10,alpha
80,AF7_alpha_hjorth_mob,0.003467,0.00195,AF7,alpha
81,TP10_low_gamma_max,0.003463,0.002066,TP10,low_gamma
82,TP10_delta_hjorth_mob,0.003452,0.001791,TP10,delta
83,AF8_delta_hjorth_mob,0.003444,0.001855,AF8,delta
84,TP9_theta_hjorth_act,0.003442,0.001561,TP9,theta
85,AF7_delta_hjorth_comp,0.003433,0.00206,AF7,delta
86,TP10_beta_hjorth_mob,0.003423,0.001782,TP10,beta
87,AF8_high_gamma_macrofreq,0.003413,0.00266,AF8,high_gamma
88,AF7_delta_mean,0.003406,0.001624,AF7,delta
89,TP9_high_gamma_macrofreq,0.003398,0.00195,TP9,high_gamma
90,AF7_low_gamma_macrofreq,0.003379,0.002427,AF7,low_gamma
91,TP10_beta_hjorth_comp,0.003375,0.002078,TP10,beta
92,AF7_delta_max,0.003367,0.001887,AF7,delta
93,TP9_theta_std,0.003365,0.001474,TP9,theta
94,AF7_theta_hjorth_comp,0.003351,0.001859,AF7,theta
95,AF8_delta_rel_power,0.003342,0.004399,AF8,delta
96,AF8_high_gamma_mean,0.003335,0.002676,AF8,high_gamma
97,AF7_alpha_hjorth_comp,0.003321,0.002033,AF7,alpha
98,AF8_high_gamma_max,0.003319,0.002856,AF8,high_gamma
99,AF8_beta_std,0.003318,0.001755,AF8,beta
100,AF8_low_gamma_mean,0.003313,0.002227,AF8,low_gamma
101,AF7_high_gamma_hjorth_act,0.003305,0.0025,AF7,high_gamma
102,TP10_low_gamma_hjorth_act,0.003305,0.002098,TP10,low_gamma
103,AF8_delta_hjorth_comp,0.0033,0.001736,AF8,delta
104,AF8_alpha_hjorth_mob,0.003273,0.001745,AF8,alpha
105,TP10_high_gamma_min,0.003252,0.001687,TP10,high_gamma
106,TP9_beta_hjorth_comp,0.003244,0.002606,TP9,beta
107,TP9_low_gamma_hjorth_mob,0.003243,0.001643,TP9,low_gamma
108,AF7_low_gamma_hjorth_mob,0.00324,0.001552,AF7,low_gamma
109,AF7_theta_max,0.003237,0.001715,AF7,theta
110,TP10_beta_macrofreq,0.003227,0.001901,TP10,beta
111,AF8_alpha_hjorth_comp,0.003217,0.001876,AF8,alpha
112,TP10_low_gamma_mean,0.003211,0.002323,TP10,low_gamma
113,AF7_theta_hjorth_mob,0.003202,0.001619,AF7,theta
114,TP10_beta_hjorth_act,0.0032,0.001633,TP10,beta
115,TP10_beta_max,0.003189,0.001628,TP10,beta
116,TP10_delta_hjorth_comp,0.003175,0.001755,TP10,delta
117,AF8_very_high_mean,0.003167,0.002112,AF8,very_high
118,AF7_high_gamma_std,0.003149,0.002372,AF7,high_gamma
119,TP9_theta_max,0.003142,0.001283,TP9,theta
120,AF8_beta_max,0.003139,0.001608,AF8,beta
121,TP10_low_gamma_hjorth_mob,0.003138,0.001904,TP10,low_gamma
122,AF8_high_gamma_hjorth_act,0.003136,0.002456,AF8,high_gamma
123,AF8_low_gamma_std,0.003135,0.001878,AF8,low_gamma
124,TP9_alpha_mean,0.003133,0.002226,TP9,alpha
125,AF7_high_gamma_max,0.003125,0.002269,AF7,high_gamma
126,AF8_beta_hjorth_act,0.003117,0.001525,AF8,beta
127,AF7_beta_hjorth_comp,0.003108,0.001737,AF7,beta
128,AF7_theta_mean,0.003107,0.001693,AF7,theta
129,AF7_high_gamma_mean,0.003102,0.002507,AF7,high_gamma
130,TP9_alpha_max,0.003101,0.002173,TP9,alpha
131,TP10_low_gamma_std,0.003095,0.001929,TP10,low_gamma
132,TP10_very_high_hjorth_comp,0.003091,0.002564,TP10,very_high
133,TP9_delta_hjorth_comp,0.003078,0.001596,TP9,delta
134,AF8_high_gamma_std,0.00307,0.00234,AF8,high_gamma
135,AF8_very_high_max,0.003055,0.002108,AF8,very_high
136,AF8_low_gamma_macrofreq,0.00305,0.002306,AF8,low_gamma
137,AF7_beta_max,0.003029,0.001493,AF7,beta
138,TP9_delta_hjorth_act,0.003024,0.002036,TP9,delta
139,TP9_very_high_hjorth_comp,0.003023,0.002427,TP9,very_high
140,AF7_high_gamma_min,0.003017,0.001838,AF7,high_gamma
141,TP9_delta_hjorth_mob,0.003015,0.001862,TP9,delta
142,TP10_very_high_hjorth_mob,0.003006,0.001488,TP10,very_high
143,AF8_beta_mean,0.003005,0.001432,AF8,beta
144,TP9_delta_std,0.003005,0.001648,TP9,delta
145,TP10_low_gamma_hjorth_comp,0.003,0.001918,TP10,low_gamma
146,AF8_very_high_hjorth_comp,0.002989,0.001747,AF8,very_high
147,TP9_delta_max,0.002977,0.001648,TP9,delta
148,AF8_beta_hjorth_mob,0.002974,0.001376,AF8,beta
149,TP9_delta_mean,0.00296,0.001429,TP9,delta
150,AF7_low_gamma_hjorth_comp,0.002953,0.001458,AF7,low_gamma
151,TP10_alpha_hjorth_mob,0.002941,0.001644,TP10,alpha
152,AF8_low_gamma_max,0.002936,0.001475,AF8,low_gamma
153,TP9_high_gamma_max,0.002923,0.002728,TP9,high_gamma
154,AF7_high_gamma_hjorth_mob,0.002912,0.001487,AF7,high_gamma
155,TP10_theta_min,0.002896,0.001868,TP10,theta
156,TP9_very_high_std,0.002892,0.001861,TP9,very_high
157,TP9_very_high_max,0.002877,0.001754,TP9,very_high
158,TP9_theta_min,0.002859,0.001898,TP9,theta
159,TP10_very_high_std,0.002842,0.002509,TP10,very_high
160,AF7_high_gamma_macrofreq,0.002833,0.001416,AF7,high_gamma
161,TP9_alpha_std,0.002831,0.00189,TP9,alpha
162,AF8_high_gamma_min,0.00283,0.001765,AF8,high_gamma
163,AF7_beta_std,0.002823,0.001507,AF7,beta
164,TP9_alpha_hjorth_mob,0.002785,0.001464,TP9,alpha
165,TP10_very_high_hjorth_act,0.002775,0.002699,TP10,very_high
166,AF7_alpha_max,0.002752,0.001572,AF7,alpha
167,AF8_very_high_std,0.00275,0.001613,AF8,very_high
168,AF7_very_high_hjorth_comp,0.002748,0.00152,AF7,very_high
169,TP10_very_high_mean,0.002737,0.002373,TP10,very_high
170,AF7_alpha_mean,0.002736,0.001266,AF7,alpha
171,AF8_beta_hjorth_comp,0.002734,0.001287,AF8,beta
172,AF7_theta_hjorth_act,0.002716,0.001443,AF7,theta
173,AF7_theta_std,0.002715,0.001541,AF7,theta
174,TP9_beta_hjorth_mob,0.002711,0.001204,TP9,beta
175,TP9_beta_mean,0.002708,0.001333,TP9,beta
176,AF8_low_gamma_hjorth_act,0.002702,0.001648,AF8,low_gamma
177,TP9_high_gamma_min,0.0027,0.001516,TP9,high_gamma
178,AF7_beta_mean,0.002696,0.001529,AF7,beta
179,AF7_high_gamma_hjorth_comp,0.002688,0.001315,AF7,high_gamma
180,TP9_very_high_hjorth_act,0.002683,0.001485,TP9,very_high
181,TP9_beta_hjorth_act,0.002654,0.001214,TP9,beta
182,AF8_low_gamma_hjorth_comp,0.002647,0.001091,AF8,low_gamma
183,TP9_beta_max,0.002641,0.001208,TP9,beta
184,TP9_alpha_hjorth_act,0.002639,0.001843,TP9,alpha
185,AF7_very_high_hjorth_mob,0.002635,0.001373,AF7,very_high
186,AF7_low_gamma_std,0.002625,0.001604,AF7,low_gamma
187,TP9_beta_peakfreq,0.002623,0.002202,TP9,beta
188,TP10_alpha_hjorth_comp,0.002616,0.001323,TP10,alpha
189,TP9_alpha_hjorth_comp,0.002604,0.001506,TP9,alpha
190,AF7_alpha_min,0.002604,0.001914,AF7,alpha
191,AF8_low_gamma_hjorth_mob,0.002595,0.001019,AF8,low_gamma
192,AF7_very_high_min,0.002589,0.001528,AF7,very_high
193,AF7_low_gamma_hjorth_act,0.002583,0.001419,AF7,low_gamma
194,TP10_very_high_max,0.002583,0.002218,TP10,very_high
195,AF8_theta_min,0.002575,0.001451,AF8,theta
196,AF8_beta_macrofreq,0.002571,0.001252,AF8,beta
197,AF7_beta_macrofreq,0.002559,0.001805,AF7,beta
198,TP9_beta_std,0.002549,0.001157,TP9,beta
199,TP10_very_high_min,0.002532,0.001598,TP10,very_high
200,TP10_alpha_min,0.002528,0.001587,TP10,alpha
201,TP9_low_gamma_mean,0.002521,0.001461,TP9,low_gamma
202,TP9_high_gamma_mean,0.002518,0.001613,TP9,high_gamma
203,AF7_alpha_std,0.002514,0.001328,AF7,alpha
204,AF8_very_high_hjorth_mob,0.002513,0.001163,AF8,very_high
205,TP9_low_gamma_max,0.002512,0.001163,TP9,low_gamma
206,TP9_very_high_mean,0.002505,0.001395,TP9,very_high
207,AF7_low_gamma_max,0.002501,0.001229,AF7,low_gamma
208,AF7_theta_min,0.0025,0.001683,AF7,theta
209,TP9_alpha_min,0.002498,0.001869,TP9,alpha
210,AF8_very_high_hjorth_act,0.002495,0.001447,AF8,very_high
211,TP9_high_gamma_hjorth_act,0.002494,0.001871,TP9,high_gamma
212,TP10_low_gamma_min,0.002483,0.001672,TP10,low_gamma
213,AF7_alpha_hjorth_act,0.002462,0.001181,AF7,alpha
214,AF7_low_gamma_mean,0.00246,0.001304,AF7,low_gamma
215,AF8_low_gamma_rel_power,0.002456,0.003022,AF8,low_gamma
216,AF7_beta_hjorth_act,0.002438,0.001429,AF7,beta
217,AF7_low_gamma_min,0.002419,0.001413,AF7,low_gamma
218,AF8_alpha_peakfreq,0.002399,0.001909,AF8,alpha
219,TP10_very_high_rel_power,0.002383,0.002051,TP10,very_high
220,TP10_high_gamma_max,0.002383,0.001102,TP10,high_gamma
221,AF8_very_high_min,0.002343,0.001627,AF8,very_high
222,TP9_very_high_min,0.002326,0.001633,TP9,very_high
223,TP10_beta_peakfreq,0.002324,0.001004,TP10,beta
224,TP9_high_gamma_std,0.002312,0.002,TP9,high_gamma
225,AF7_very_high_max,0.002305,0.001106,AF7,very_high
226,TP10_high_gamma_std,0.002302,0.00083,TP10,high_gamma
227,TP9_very_high_hjorth_mob,0.002293,0.00098,TP9,very_high
228,TP10_beta_min,0.002293,0.001523,TP10,beta
229,TP10_delta_rel_power,0.002285,0.001473,TP10,delta
230,AF8_alpha_min,0.002284,0.001911,AF8,alpha
231,TP9_low_gamma_hjorth_act,0.002268,0.001102,TP9,low_gamma
232,TP9_low_gamma_std,0.002236,0.000991,TP9,low_gamma
233,AF8_very_high_peakfreq,0.002229,0.001366,AF8,very_high
234,AF7_very_high_hjorth_act,0.002181,0.000982,AF7,very_high
235,TP10_high_gamma_hjorth_act,0.002163,0.000766,TP10,high_gamma
236,TP10_theta_rel_power,0.00216,0.001654,TP10,theta
237,TP9_low_gamma_min,0.002157,0.001576,TP9,low_gamma
238,AF8_low_gamma_min,0.002147,0.001545,AF8,low_gamma
239,TP9_beta_min,0.00213,0.001492,TP9,beta
240,TP10_high_gamma_mean,0.002107,0.000896,TP10,high_gamma
241,TP10_low_gamma_rel_power,0.002105,0.001438,TP10,low_gamma
242,AF8_theta_rel_power,0.002088,0.001915,AF8,theta
243,TP9_theta_rel_power,0.002081,0.001626,TP9,theta
244,TP9_alpha_rel_power,0.002068,0.002034,TP9,alpha
245,AF7_beta_peakfreq,0.002065,0.001371,AF7,beta
246,TP9_very_high_rel_power,0.002051,0.001695,TP9,very_high
247,TP9_delta_rel_power,0.00204,0.001818,TP9,delta
248,AF7_very_high_peakfreq,0.002026,0.000762,AF7,very_high
249,AF8_beta_peakfreq,0.002024,0.000961,AF8,beta
250,AF8_beta_rel_power,0.001999,0.001581,AF8,beta
251,AF8_beta_min,0.001992,0.001479,AF8,beta
252,AF7_very_high_std,0.001983,0.000786,AF7,very_high
253,AF8_very_high_rel_power,0.001982,0.001627,AF8,very_high
254,AF7_beta_min,0.001981,0.001166,AF7,beta
255,AF8_high_gamma_rel_power,0.001975,0.001905,AF8,high_gamma
256,TP10_high_gamma_rel_power,0.001956,0.001261,TP10,high_gamma
257,TP10_alpha_rel_power,0.001937,0.001257,TP10,alpha
258,AF7_very_high_mean,0.001936,0.000991,AF7,very_high
259,TP10_very_high_peakfreq,0.001931,0.000902,TP10,very_high
260,AF8_alpha_rel_power,0.001918,0.001526,AF8,alpha
261,AF8_delta_min,0.001904,0.001851,AF8,delta
262,TP9_low_gamma_peakfreq,0.001882,0.000995,TP9,low_gamma
263,TP9_very_high_peakfreq,0.001871,0.001029,TP9,very_high
264,TP9_beta_rel_power,0.001823,0.001483,TP9,beta
265,AF7_low_gamma_peakfreq,0.00182,0.000928,AF7,low_gamma
266,TP9_high_gamma_rel_power,0.001753,0.00136,TP9,high_gamma
267,TP10_beta_rel_power,0.001711,0.001295,TP10,beta
268,TP9_low_gamma_rel_power,0.001705,0.001373,TP9,low_gamma
269,AF7_delta_min,0.001699,0.001053,AF7,delta
270,AF8_low_gamma_peakfreq,0.001682,0.00065,AF8,low_gamma
271,AF7_high_gamma_rel_power,0.001677,0.001612,AF7,high_gamma
272,AF7_delta_rel_power,0.00166,0.00162,AF7,delta
273,AF7_theta_rel_power,0.001613,0.001542,AF7,theta
274,TP10_delta_min,0.001604,0.001285,TP10,delta
275,AF7_low_gamma_rel_power,0.001517,0.001524,AF7,low_gamma
276,AF7_beta_rel_power,0.001482,0.001395,AF7,beta
277,TP10_low_gamma_peakfreq,0.00148,0.000478,TP10,low_gamma
278,AF7_alpha_rel_power,0.001403,0.001487,AF7,alpha
279,AF7_very_high_rel_power,0.001363,0.001305,AF7,very_high
280,TP9_delta_min,0.001262,0.000792,TP9,delta
