Rank,Feature,Mean Gini,SD,Electrode,Band
151,AF8_beta_hjorth_comp,0.002554,0.002221,AF8,beta
152,TP10_delta_hjorth_comp,0.002554,0.002113,TP10,delta
153,AF8_low_gamma_rel_power,0.002548,0.003715,AF8,low_gamma
154,TP9_low_gamma_hjorth_mob,0.002536,0.003013,TP9,low_gamma
155,AF7_high_gamma_hjorth_act,0.002529,0.00229,AF7,high_gamma
156,AF8_alpha_hjorth_mob,0.002522,0.002742,AF8,alpha
157,TP9_very_high_std,0.002515,0.002998,TP9,very_high
158,AF7_very_high_hjorth_mob,0.002503,0.002772,AF7,very_high
159,TP9_beta_hjorth_mob,0.00249,0.002458,TP9,beta
160,TP9_beta_mean,0.002441,0.002094,TP9,beta
161,AF8_delta_hjorth_mob,0.002412,0.002257,AF8,delta
162,TP10_high_gamma_hjorth_mob,0.002411,0.003076,TP10,high_gamma
163,AF8_very_high_hjorth_act,0.002401,0.002101,AF8,very_high
164,AF7_high_gamma_hjorth_comp,0.002396,0.001921,AF7,high_gamma
165,TP9_raw_mean,0.002381,0.002329,TP9,raw
166,TP9_theta_std,0.002372,0.002427,TP9,theta
167,TP10_high_gamma_rel_power,0.002371,0.005386,TP10,high_gamma
168,AF7_delta_hjorth_mob,0.002368,0.002025,AF7,delta
169,TP10_very_high_peakfreq,0.002356,0.002611,TP10,very_high
170,AF8_delta_hjorth_comp,0.002346,0.001792,AF8,delta
171,TP9_beta_peakfreq,0.002322,0.001622,TP9,beta
172,TP10_delta_hjorth_mob,0.002319,0.002275,TP10,delta
173,TP9_raw_std,0.00231,0.002368,TP9,raw
174,AF8_high_gamma_hjorth_mob,0.002298,0.001876,AF8,high_gamma
175,AF7_beta_std,0.002294,0.002033,AF7,beta
176,TP10_low_gamma_rel_power,0.002286,0.00272,TP10,low_gamma
177,AF7_low_gamma_hjorth_comp,0.002265,0.001942,AF7,low_gamma
178,TP10_low_gamma_hjorth_mob,0.002238,0.001986,TP10,low_gamma
179,TP10_beta_hjorth_comp,0.002198,0.00196,TP10,beta
180,TP9_beta_std,0.002198,0.001553,TP9,beta
181,AF7_alpha_hjorth_comp,0.00216,0.001895,AF7,alpha
182,AF7_low_gamma_hjorth_act,0.002133,0.001883,AF7,low_gamma
183,TP10_alpha_rel_power,0.002124,0.002021,TP10,alpha
184,TP9_very_high_hjorth_mob,0.002103,0.002187,TP9,very_high
185,TP9_alpha_hjorth_comp,0.002094,0.00172,TP9,alpha
186,TP9_very_high_mean,0.002077,0.001871,TP9,very_high
187,TP9_beta_hjorth_act,0.002071,0.0012,TP9,beta
188,TP10_raw_std,0.002061,0.001513,TP10,raw
189,AF7_low_gamma_mean,0.002061,0.001867,AF7,low_gamma
190,TP9_theta_hjorth_comp,0.002055,0.002263,TP9,theta
191,AF8_beta_hjorth_mob,0.002025,0.00205,AF8,beta
192,AF7_high_gamma_std,0.00201,0.002126,AF7,high_gamma
193,TP9_delta_hjorth_mob,0.00201,0.001772,TP9,delta
194,AF8_very_high_rel_power,0.00201,0.002538,AF8,very_high
195,TP10_raw_slope,0.002006,0.001642,TP10,raw
196,TP9_alpha_std,0.002005,0.001897,TP9,alpha
197,AF8_alpha_rel_power,0.002004,0.002648,AF8,alpha
