segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
17,tiktok_over_4s_watched,1764170857.1429462,1764170859.1428928,-73015717075.39569,-44595190046.26374,-205068211639.4478,23678570230.472572,10313203639.457924,-562748627346.3354,-152419242471.10785,-11833932707.437853,965885858.9847205,2799117385.7437906,-133322929644.14647,-6816830129.121582,-61225318062.1281,10519089973.952547,-5400460922.487006,-45078288826.31483,3553790956.893783,-1411892205.3196688,7674342224.819087,43124906604.954834
18,tiktok_over_4s_watched,1764170882.3138125,1764170884.3137138,-33226009553.988182,30315292544.39198,1936366784.2047355,27074757053.020817,8397785446.366517,-535643289935.5518,-43247122483.15371,-37692578701.60823,-2846250850.666861,13062102270.852715,-167667514677.70334,14468955645.555473,-74740799246.18948,-5155201605.10309,-2509257153.875459,-54053255467.80763,6296278645.350128,5924283226.902004,14234094605.210169,86393836190.17819
19,tiktok_over_4s_watched,1764170886.8136306,1764170888.8135428,-46222574805.58809,-52672979174.071,-284418254532.3148,28190818015.21815,532972607.2924975,30795238517.130478,2261352794.732221,-21646915534.5055,3011286671.223577,14634906228.058876,-151081892899.60162,-11150720082.616802,-105674550705.97357,-2506829258.759153,-3793911559.532186,-69250117240.88437,-5326471239.584855,-14860402188.226612,-9202156669.039051,-76122151267.36182
20,tiktok_over_4s_watched,1764170890.8916082,1764170892.89153,-9809773687.043901,-105810463086.7297,-130575967750.4907,57364252177.69395,-878776151.5278745,-504290635797.3176,-26363720778.525646,4584854672.563728,3902342753.0837717,-21946436493.638508,-143737546877.77005,-10958828259.269241,55405148711.23061,15227608937.799541,-1189414617.9551477,-41144591747.96159,-3105640946.009049,-6125485190.871722,1466997450.7652962,-38062906230.77089
21,tiktok_over_4s_watched,1764170899.2819104,1764170901.281816,-40926249103.08896,2432539548.0704355,53466232603.32228,71653259937.36638,5862798173.186434,-128598481139.4592,-144855565157.03262,25271348455.212303,11185890771.486889,12572681666.740118,-312712783181.98724,-5308920529.226405,36049183469.01387,-65656183852.4741,4932671779.416624,-65629228610.289635,-2702292685.030829,1455058113.1611598,-5835246317.759822,30812739655.719418
22,tiktok_over_4s_watched,1764170909.8282456,1764170911.8281767,17014702472.55084,-1114426889.0015433,632038214374.4163,105210252847.02219,7082946734.749856,-478469041473.81903,-27426808604.18541,-39304829771.6757,-2972174457.800195,-6583775769.666029,-2491952796.5852456,17348608032.497154,59892478282.73888,-58009342885.41888,-3738655542.5480328,-8876067055.331902,-14976293744.399858,364167387.83651215,-3535086934.993991,32679609104.093033
23,tiktok_under_4s_watched,1764170629.4676683,1764170631.1045702,9550887193.842773,-12122784932.200596,-9533412840.34603,11557424489.954426,-5789840847.243391,-204281229571.18292,-136027617963.58081,18340770836.73008,-3409159621.802179,-30067839934.115734,-72600232048.76392,-1860916403.5008187,-46659066184.568726,-72341131148.05208,-12900773288.41541,-37269393997.40207,-3875534267.7643504,-6671626932.047483,-3479580369.790128,-113774042207.61795
24,tiktok_under_4s_watched,1764170631.108528,1764170632.5579102,27294264781.788387,-11144736567.779938,140672743440.9968,56612252832.75618,-7970711630.573205,-371038544766.6061,91914211088.45956,16890908655.291252,-17376525120.2956,-7103958821.50313,-122768919197.51686,-10142456493.928362,-121127726982.28908,-54929090578.321335,-18189547172.483105,-5212372535.733716,-13036881155.217045,-2915201400.1861467,-580745418.580065,12779286387.739588
25,tiktok_under_4s_watched,1764170637.625083,1764170638.9806688,-4280746590.504114,10800836193.142496,110424089148.77602,22119854079.665565,2679220097.1724033,-723443355063.8047,2689160392.5608387,13891768695.17411,-6852042018.942009,11911270173.488575,-301767152933.5985,19386758201.77858,-136605537885.10406,-104317067731.58035,-10817256295.676664,4686143255.755941,3852765219.1494813,3455299713.349886,-1997456454.0702322,27832769487.71198
26,tiktok_under_4s_watched,1764170638.984591,1764170640.9495854,-26073416503.027393,-10184320465.369488,-132338240498.72345,-13834012484.260181,-9296090779.57016,-144539245069.8155,40044960868.75724,-10523256589.3033,2486783835.7677455,-8281837947.50251,-168179119995.44458,-35874076708.4826,-27761407648.30332,-29175370019.15014,5492277133.209263,-79094899972.20996,-1268509265.4232357,-7427646678.546627,4903242718.185228,-69325077037.13486
